encounter,recommended,min,median,max,mean
Dire Wolf,5,0.98,1.0,1.0,0.996
Giant Rat,1,0.754,0.9706666666666667,1.0,0.9265555555555557
Giant Scorpion,10,0.4646666666666667,0.9516666666666667,1.0,0.8502777777777778
Goblin Boss,5,0.902,0.9956666666666666,1.0,0.9822777777777777
Goblin Minion,1,0.802,0.9856666666666666,1.0,0.9468333333333333
Goblin Warrior,2,0.8753333333333333,0.9906666666666666,1.0,0.969
Minotaur Skeleton,7,0.4066666666666667,0.9450000000000001,1.0,0.8654444444444445
Ogre,8,0.4733333333333333,0.9850000000000001,1.0,0.9235000000000001
Red Dragon Wyrmling,12,0.6406666666666667,0.9500000000000001,0.9973333333333332,0.8614444444444445
Skeleton,2,0.6993333333333334,0.9563333333333334,1.0,0.9093888888888889
Troll,15,0.474,0.951,1.0,0.8748888888888889
Wolf,1,0.596,0.9633333333333334,1.0,0.8904444444444444
Young Red Dragon,20,0.488,0.89,0.9993333333333332,0.8222222222222223
